Cód.Aluno,Cód.Curso,"Taxa Matrícula","Data Matrícula","Nome do Aluno",Idade,"E-mail Principal","E-mail secundário",Telefone,Celular
1,2,10.00,2020-08-30,João,26,joao@gmail.com,,3322-1825,
1,3,50.00,2020-07-15,João,26,joao@gmail.com,,3322-1825,
2,2,30.00,2020-07-20,Juca,33,juca@hotmail.com,juca@gmail.com,3333-2020,9918-2020
3,4,18.00,2020-06-20,Maria,25,maria@outlook.com,maria@gmail.com,3321-1100,9999-1010
NULL,NULL,NULL,NULL,Pedro,18,pedro@gmail.com,pedro@outlook.com,3322-8564,9188-1818
NULL,NULL,NULL,NULL,Tiago,16,tiago@gmail.com,tiago@gmail.com,,
NULL,NULL,NULL,NULL,Zeca,22,zeca@yahoo.com,,3321-0123,
NULL,NULL,NULL,NULL,Amarildo,44,amarildo@gmail.com,,,9963-1894
NULL,NULL,NULL,NULL,Marilde,31,marilde@terra.com.br,marilde@yahoo.com,,
NULL,NULL,NULL,NULL,Felipe,19,felipe@outlook.com,,3321-1234,
